Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Country,Age_Group
04-563-9091,37,Male,Middle,Widowed,Master's,High,Puqian,Office Supplies,328.21,7,Mixed,5,5,2.0,Low,Not Sensitive,2,2,Low,Smartphone,Credit Card,2024-02-14,False,False,Need-based,No Preference,12,Unknown,36-45
79-592-5396,30,Female,High,Married,Master's,High,Binalbagan,Sports & Outdoors,268.59,4,Online,3,3,1.0,High,Very Sensitive,1,1,Medium,Desktop,Debit Card,2024-04-05,True,True,Need-based,Standard,3,PH,26-35
39-952-4459,18,Female,High,Divorced,High School,High,Tessalit,Electronics,257.37,7,Online,3,3,0.0,Medium,Very Sensitive,2,5,Medium,Smartphone,PayPal,2024-02-01,True,False,Wants-based,Express,13,Unknown,18-25
67-935-7964,41,Female,Middle,Single,High School,High,Nikolayevsk,Office Supplies,205.49,4,In-Store,5,3,2.0,Low,Somewhat Sensitive,2,2,High,Tablet,Cash,2024-11-09,True,False,Need-based,Express,11,RU,36-45
26-828-2720,40,Male,High,Divorced,Master's,High,Dashuipo,Mobile Accessories,407.91,7,In-Store,2,5,0.0,Low,Not Sensitive,0,5,Low,Tablet,Other,2024-06-17,True,True,Need-based,Standard,14,Unknown,36-45
57-410-7415,33,Female,High,Divorced,Bachelor's,High,Týn nad Vltavou,Food & Beverages,254.73,6,Online,4,3,0.0,Medium,Very Sensitive,0,3,Low,Smartphone,Other,2024-06-01,True,True,Impulsive,Express,3,Unknown,26-35
62-989-8214,30,Female,Middle,Divorced,Bachelor's,High,Kaum Kaler,Clothing,397.78,12,Online,3,3,1.0,Medium,Not Sensitive,2,7,Medium,Smartphone,PayPal,2024-09-24,False,True,Impulsive,No Preference,11,Unknown,26-35
73-827-2774,33,Female,High,Married,Bachelor's,High,Gandapura,Electronics,305.29,3,Online,2,3,1.0,Medium,Very Sensitive,1,8,Medium,Desktop,Debit Card,2024-09-05,True,True,Impulsive,Standard,10,Unknown,26-35
57-345-3921,42,Female,High,Single,High School,Middle,Mondorf-les-Bains,Jewelry & Accessories,393.45,12,In-Store,3,1,0.0,Low,Somewhat Sensitive,2,10,Medium,Desktop,Credit Card,2024-10-06,False,False,Need-based,Express,12,Unknown,36-45
98-817-6731,30,Male,High,Married,Bachelor's,Middle,Manwakh,Health Supplements,58.49,6,Online,2,2,0.0,Medium,Very Sensitive,0,8,High,Tablet,Other,2024-07-29,True,True,Planned,Express,7,Unknown,26-35
27-806-4972,26,Female,High,Single,Master's,Middle,Obong,Health Care,469.22,6,In-Store,1,1,1.0,High,Not Sensitive,0,1,Low,Tablet,Credit Card,2024-08-07,False,False,Wants-based,No Preference,7,Unknown,26-35
15-640-6493,31,Male,High,Divorced,High School,Middle,Dālbandīn,Animal Feed,184.74,5,In-Store,4,4,0.0,Medium,Very Sensitive,1,5,High,Tablet,Debit Card,2024-11-27,False,True,Impulsive,No Preference,10,Unknown,26-35
58-788-8938,49,Male,High,Married,High School,Middle,Hachiōji,Health Supplements,427.1,8,Mixed,1,2,1.0,High,Somewhat Sensitive,0,2,Medium,Desktop,PayPal,2024-05-10,False,True,Planned,No Preference,5,JP,46-55
52-240-3825,34,Male,High,Widowed,High School,High,Jolo,Home Appliances,326.82,4,Mixed,3,2,1.0,High,Somewhat Sensitive,2,5,Medium,Tablet,Credit Card,2024-04-22,True,False,Planned,Standard,4,PH,26-35
76-982-8107,47,Female,Middle,Widowed,Master's,High,La Mohammedia,Electronics,85.61,2,Online,4,2,1.0,High,Not Sensitive,1,3,Low,Desktop,Other,2024-10-04,True,True,Need-based,Standard,5,TN,46-55
79-884-5600,36,Female,High,Widowed,Master's,Middle,Goiatuba,Books,245.14,4,Online,4,5,1.0,High,Very Sensitive,1,4,Medium,Smartphone,PayPal,2024-03-03,True,False,Impulsive,Standard,3,BR,36-45
80-607-9947,43,Male,High,Divorced,Bachelor's,Middle,Krajan Kidul Rojopolo,Toys & Games,439.91,5,Online,1,4,2.0,Low,Somewhat Sensitive,0,9,Medium,Smartphone,Other,2024-03-03,False,False,Need-based,Express,10,Unknown,36-45
54-164-2243,48,Male,Middle,Single,High School,Middle,Benito Juarez,Hotels,298.73,4,Online,1,5,1.0,High,Not Sensitive,0,2,Low,Tablet,Debit Card,2024-11-02,False,True,Need-based,No Preference,4,MX,46-55
14-784-5606,19,Other,High,Single,Bachelor's,High,Maní,Food & Beverages,395.01,2,Mixed,1,2,2.0,Medium,Very Sensitive,0,6,Medium,Desktop,Credit Card,2024-04-18,True,False,Wants-based,Standard,3,Unknown,18-25
47-992-7446,41,Male,Middle,Married,Bachelor's,High,Vitali,Electronics,371.19,10,Mixed,1,2,2.0,High,Somewhat Sensitive,1,8,Medium,Desktop,Credit Card,2024-08-27,False,False,Planned,Express,1,Unknown,36-45
37-513-5073,33,Female,Middle,Married,Master's,High,Mizque,Electronics,193.76,10,Mixed,4,3,1.0,Medium,Not Sensitive,0,2,Low,Desktop,Debit Card,2024-02-03,False,False,Wants-based,No Preference,12,BO,26-35
72-830-1211,38,Male,High,Single,Bachelor's,High,Cipolletti,Jewelry & Accessories,496.11,2,Mixed,2,3,1.0,High,Somewhat Sensitive,2,8,High,Smartphone,PayPal,2024-06-08,True,False,Impulsive,Standard,12,AR,36-45
40-232-5631,47,Other,Middle,Single,Bachelor's,Middle,Suvorov,Software & Apps,227.47,2,Online,2,2,2.0,Low,Very Sensitive,1,4,High,Tablet,Other,2024-10-30,True,False,Need-based,Express,9,RU,46-55
22-414-4955,35,Male,High,Widowed,Bachelor's,High,Dragash,Health Supplements,342.99,3,In-Store,4,2,2.0,Low,Very Sensitive,0,6,Medium,Smartphone,Other,2024-11-22,False,True,Impulsive,Express,6,XK,26-35
99-089-1930,49,Other,High,Married,Master's,Middle,Freiburg im Breisgau,Packages),306.48,5,Mixed,1,3,0.0,Medium,Very Sensitive,0,9,Low,Tablet,Credit Card,2024-09-15,False,True,Need-based,Standard,14,Unknown,46-55
62-198-2511,22,Male,Middle,Divorced,Master's,High,Macau,Home Appliances,308.54,3,Mixed,1,3,0.0,High,Not Sensitive,1,5,High,Desktop,Credit Card,2024-09-29,False,True,Wants-based,Standard,7,MO,18-25
21-297-1223,49,Male,High,Single,Master's,Middle,Pancas,Travel & Leisure (Flights,124.17,12,Mixed,5,2,2.0,High,Very Sensitive,2,4,High,Smartphone,Debit Card,2024-11-16,True,True,Planned,Standard,6,BR,46-55
71-473-2656,27,Female,High,Married,Bachelor's,Middle,Gordon Town,Health Care,393.03,4,Mixed,4,4,0.0,High,Somewhat Sensitive,1,3,Medium,Smartphone,Cash,2024-09-03,True,True,Planned,Standard,7,Unknown,26-35
22-382-9636,32,Male,Middle,Married,Bachelor's,High,Kamal,Health Care,426.21,3,Mixed,1,4,2.0,High,Somewhat Sensitive,2,5,High,Smartphone,Other,2024-04-18,False,True,Wants-based,Standard,2,ID,26-35
85-391-1888,18,Female,High,Widowed,Master's,Middle,Zhongdong,Software & Apps,413.7,8,Mixed,3,3,0.3,Low,Very Sensitive,0,9,High,Desktop,Other,2024-06-17,False,True,Need-based,No Preference,6,Unknown,18-25
43-172-9431,25,Male,Middle,Divorced,High School,Middle,Lameira,Gardening & Outdoors,138.2,8,In-Store,1,2,2.0,High,Not Sensitive,0,6,Low,Desktop,Debit Card,2024-03-02,False,True,Need-based,No Preference,12,Unknown,18-25
00-496-3067,32,Female,Middle,Widowed,Bachelor's,Middle,Oslo,Packages),249.24,8,In-Store,4,3,1.0,Medium,Somewhat Sensitive,2,3,High,Smartphone,Cash,2024-08-29,False,True,Need-based,Standard,7,NO,26-35
10-330-6387,45,Male,High,Divorced,High School,High,Yeniköy,Furniture,129.1,12,Mixed,5,3,2.0,Low,Not Sensitive,0,8,High,Desktop,Credit Card,2024-04-15,True,False,Planned,No Preference,7,Unknown,36-45
87-590-8963,45,Female,High,Married,Master's,High,Peer,Baby Products,112.69,10,In-Store,1,4,0.0,High,Not Sensitive,0,7,Medium,Smartphone,Debit Card,2024-08-27,False,True,Need-based,Standard,1,BE,36-45
47-931-2642,46,Male,Middle,Widowed,Bachelor's,High,Belūsovka,Beauty & Personal Care,267.85,5,Online,5,2,2.0,Medium,Somewhat Sensitive,1,5,High,Smartphone,Credit Card,2024-03-20,False,True,Need-based,Standard,7,Unknown,46-55
76-501-6422,24,Male,Middle,Divorced,High School,Middle,Houston,Home Appliances,205.36,12,Online,1,5,2.0,High,Very Sensitive,0,1,Low,Tablet,Credit Card,2024-04-27,False,False,Impulsive,Express,5,US,18-25
67-593-9579,46,Male,Middle,Single,Bachelor's,High,Rozhdestveno,Baby Products,71.0,12,Online,1,5,2.0,High,Not Sensitive,2,9,Low,Smartphone,Cash,2024-06-26,False,False,Wants-based,No Preference,13,Unknown,46-55
33-484-6674,47,Male,Middle,Single,Master's,Middle,Porangatu,Packages),280.05,10,In-Store,4,1,2.0,Medium,Very Sensitive,1,2,High,Smartphone,Credit Card,2024-07-06,True,False,Wants-based,No Preference,11,BR,46-55
17-328-4678,27,Male,High,Widowed,Bachelor's,Middle,Quimbaya,Packages),119.51,11,Mixed,5,5,2.0,Low,Very Sensitive,2,8,Low,Desktop,PayPal,2024-05-07,False,False,Planned,No Preference,1,CO,26-35
47-501-3435,38,Female,High,Married,Bachelor's,High,Gimcheon,Books,225.05,5,Mixed,2,1,1.0,High,Somewhat Sensitive,1,1,Low,Desktop,Credit Card,2024-06-27,False,False,Need-based,No Preference,10,KR,36-45
35-122-5020,48,Female,High,Married,Bachelor's,Middle,Pukekohe East,Arts & Crafts,102.96,3,Mixed,1,1,1.0,Low,Very Sensitive,0,7,Low,Desktop,PayPal,2024-12-19,False,True,Wants-based,Standard,4,NZ,46-55
63-684-4073,45,Female,High,Divorced,Bachelor's,High,Blokdesa Situgede,Electronics,331.57,11,Mixed,3,1,0.0,Low,Somewhat Sensitive,1,6,Medium,Desktop,Debit Card,2024-05-06,False,False,Impulsive,Express,14,Unknown,36-45
74-483-2893,26,Other,Middle,Widowed,High School,Middle,Yueyang,Electronics,101.29,11,In-Store,1,1,2.0,Medium,Not Sensitive,2,7,Medium,Smartphone,Cash,2024-10-30,False,True,Need-based,No Preference,4,CN,26-35
79-861-6506,20,Male,High,Widowed,High School,High,Baturité,Toys & Games,352.87,11,In-Store,5,3,0.0,High,Not Sensitive,0,6,High,Tablet,PayPal,2024-02-19,False,False,Wants-based,Standard,12,BR,18-25
27-262-6874,25,Female,Middle,Married,Bachelor's,High,Yuyapichis,Books,473.5,11,Mixed,2,4,1.0,Low,Somewhat Sensitive,2,3,High,Tablet,Other,2024-07-24,False,True,Impulsive,Express,10,Unknown,18-25
92-908-5062,18,Other,Middle,Single,Bachelor's,High,Shiroishi,Home Appliances,72.8,11,In-Store,2,4,1.0,High,Somewhat Sensitive,2,10,High,Desktop,PayPal,2024-08-20,True,False,Need-based,Express,3,JP,18-25
57-623-5362,43,Other,High,Married,Bachelor's,High,Jilin,Furniture,209.79,6,Mixed,5,1,2.0,High,Not Sensitive,1,9,Low,Tablet,Other,2024-09-13,True,True,Need-based,Standard,10,CN,36-45
71-959-3896,29,Male,High,Married,Bachelor's,High,Cipari,Luxury Goods,98.63,7,Online,4,5,2.0,High,Somewhat Sensitive,1,3,Low,Tablet,Other,2024-01-09,False,True,Planned,Standard,6,Unknown,26-35
78-613-1546,49,Female,Middle,Single,High School,Middle,Torsby,Luxury Goods,145.02,7,In-Store,3,2,0.0,High,Very Sensitive,1,1,Medium,Desktop,Credit Card,2024-06-23,True,True,Wants-based,Express,9,Unknown,46-55
43-664-4451,30,Female,Middle,Divorced,Master's,Middle,San Pablo,Health Supplements,294.99,4,Online,3,5,2.0,Low,Somewhat Sensitive,1,4,High,Desktop,PayPal,2024-11-30,False,False,Need-based,Standard,5,US,26-35
73-139-4306,24,Female,Middle,Married,Master's,High,Puerto López,Luxury Goods,139.1,7,Online,2,5,0.0,Low,Somewhat Sensitive,2,3,Medium,Desktop,PayPal,2024-03-20,False,False,Impulsive,No Preference,8,CO,18-25
23-794-8196,36,Other,High,Married,Master's,Middle,Xinchengzi,Furniture,268.28,9,Mixed,5,2,2.0,High,Very Sensitive,2,2,High,Smartphone,Credit Card,2024-04-09,False,True,Need-based,Standard,8,Unknown,36-45
53-013-1026,40,Male,High,Widowed,Master's,Middle,Duyure,Health Supplements,53.67,7,Online,3,5,1.0,High,Not Sensitive,0,2,High,Desktop,PayPal,2024-04-13,False,False,Planned,Express,11,Unknown,36-45
18-047-5540,50,Female,High,Single,Bachelor's,High,Kuala Lumpur,Sports & Outdoors,98.02,5,In-Store,3,3,1.0,Low,Not Sensitive,0,3,High,Desktop,Debit Card,2024-06-30,True,False,Planned,No Preference,10,MY,46-55
